SKU_ID,Category,Demand_Score,Turnover_Rate,Zone_ID,Pick_Time_sec
SKU_001,Home,96.95846277645586,9.174392973699883,Zone_3,22.06726884674431
SKU_002,Food,77.51328233611146,3.1560570160027517,Zone_1,41.25418526272592
SKU_003,Electronics,93.9498941564189,2.304053848821008,Zone_1,41.62540486440426
SKU_004,Home,89.48273504276489,5.405074842498067,Zone_4,45.497196059928264
SKU_005,Home,59.78999788110851,9.870854086995406,Zone_3,49.04365334890646
SKU_006,Food,92.18742350231169,3.178497443603504,Zone_1,59.03408317850138
SKU_007,Electronics,8.84925020519195,7.049219926652907,Zone_4,40.65201393204781
SKU_008,Electronics,19.59828624191452,7.854576537958458,Zone_3,32.91825891764984
SKU_009,Home,4.522728891053807,3.1387378959315972,Zone_4,51.80744779074814
SKU_010,Apparel,32.53303307632643,7.553947137506736,Zone_2,30.83329005048297
SKU_011,Home,38.8677289689482,4.3100481944732785,Zone_1,37.558856828225444
SKU_012,Home,27.134903177389592,6.690752475342215,Zone_2,23.138255253690637
SKU_013,Home,82.87375091519293,6.7017673968480524,Zone_3,21.0140297366183
SKU_014,Home,35.67533266935893,5.821972156672826,Zone_2,58.505936587117006
SKU_015,Food,28.093450968738075,1.8126079304896747,Zone_2,53.439204820488236
SKU_016,Electronics,54.26960831582485,8.51772246030314,Zone_3,47.83896824374792
SKU_017,Food,14.092422497476264,3.8870205847456223,Zone_4,36.35811777657079
SKU_018,Food,80.21969807540397,2.678666593598688,Zone_2,26.93177280283383
SKU_019,Food,7.455064367977082,1.3669762739928752,Zone_4,26.257481706843443
SKU_020,Home,98.68869366005173,6.318036488694176,Zone_2,30.009715926583812
SKU_021,Apparel,77.22447692966574,7.098079256580542,Zone_4,41.969066588244814
SKU_022,Electronics,19.87156815341724,1.1492904603507053,Zone_3,48.583836908002496
SKU_023,Apparel,0.5522117123602399,5.608837524693529,Zone_2,46.40789506870925
SKU_024,Food,81.54614284548342,3.0384619767814414,Zone_3,31.197355877837715
SKU_025,Food,70.68573438476172,6.806555113685048,Zone_2,58.19461122652776
SKU_026,Apparel,72.90071680409874,2.569297861044923,Zone_3,49.51587666783074
SKU_027,Apparel,77.12703466859458,7.218439642922194,Zone_3,42.17416210045603
SKU_028,Apparel,7.4044651734090365,4.480618116704837,Zone_2,44.46882984937409
SKU_029,Food,35.84657285442726,9.43056989863061,Zone_2,36.7840024971116
SKU_030,Food,11.586905952512971,2.2376884973139393,Zone_2,29.909239580046297
SKU_031,Electronics,86.31034258755935,4.069597159452327,Zone_1,34.238907146050465
SKU_032,Electronics,62.329812682755794,2.021261691165302,Zone_4,50.31384441857476
SKU_033,Food,33.08980248526492,9.322242564507064,Zone_1,20.575739545190235
SKU_034,Apparel,6.355835028602364,8.896054180428829,Zone_1,24.64290562027665
SKU_035,Apparel,31.09823217156622,3.3214746494364005,Zone_3,21.84010568087011
SKU_036,Electronics,32.518332202674706,6.939856414307611,Zone_2,21.629152092758805
SKU_037,Food,72.96061783380641,8.354999801810942,Zone_4,54.21842336044029
SKU_038,Electronics,63.75574713552131,5.996807304395161,Zone_3,48.146314375200944
SKU_039,Electronics,88.72127425763266,5.766855205204059,Zone_1,38.96695316349301
SKU_040,Home,47.22149251619493,3.1766706181040654,Zone_2,23.91336642604006
SKU_041,Home,11.959424593830171,1.837924910253093,Zone_3,39.66463500467329
SKU_042,Home,71.3244787222995,9.074941821579941,Zone_2,38.93887083122263
SKU_043,Apparel,76.07850486168974,9.103762514469974,Zone_3,26.928074796400608
SKU_044,Food,56.127719756949624,6.697913115459412,Zone_2,37.35406596951892
SKU_045,Food,77.0967179954561,4.051268119438307,Zone_1,35.94018937589494
SKU_046,Food,49.379559636439076,4.142886171513948,Zone_4,44.63400392208866
SKU_047,Food,52.27328293819941,7.533601109832154,Zone_1,45.40374603470575
SKU_048,Home,42.75410183585496,9.073992339573193,Zone_4,21.81216039088178
SKU_049,Apparel,2.541912674409519,8.983777818386056,Zone_2,34.98450458505885
SKU_050,Apparel,10.789142699330444,8.018879912718614,Zone_3,45.03439662856945
SKU_051,Home,3.142918568673425,6.77828481538859,Zone_1,40.12545034320351
SKU_052,Apparel,63.64104112637804,1.7572596849554394,Zone_4,54.25959364753289
SKU_053,Home,31.435598107632668,2.454658426851524,Zone_1,46.347745264757805
SKU_054,Food,50.85706911647028,9.086987696743714,Zone_4,26.517377083257188
SKU_055,Home,90.7566473926093,6.457861536936309,Zone_1,22.822749896017193
SKU_056,Food,24.929222914887493,1.0827734645496667,Zone_4,45.69677112825262
SKU_057,Food,41.038292303562976,1.913243885794289,Zone_4,21.060452421664873
SKU_058,Electronics,75.55511385430486,6.971515921972502,Zone_2,43.43102325093853
